date,type,price,quantity,cash_before,cash_after,holdings_before,holdings_after,portfolio_value
2025-01-23,BUY,377300.0,2.6490856082692815,1000000.0,0.0,0.0,2.6490856082692815,999499.9999999999
2025-02-06,SELL,297250.0,2.6490856082692815,0.0,787046.976709515,2.6490856082692815,0.0,787046.976709515
2025-03-30,BUY,186600.0,4.215720542449947,787046.976709515,0.0,0.0,4.215720542449947,786653.4532211602
2025-04-02,SELL,175050.0,4.215720542449947,0.0,737592.9000153854,4.215720542449947,0.0,737592.9000153854
2025-04-19,BUY,201800.0,3.653241345715449,737592.9000153854,0.0,0.0,3.653241345715449,737224.1035653776
2025-05-29,SELL,232700.0,3.653241345715449,0.0,849684.206517411,3.653241345715449,0.0,849684.206517411
2025-07-10,BUY,221600.0,3.832397853854478,849684.206517411,0.0,0.0,3.832397853854478,849259.3644141523
2025-08-10,SELL,251200.0,3.832397853854478,0.0,962216.9917178008,3.832397853854478,0.0,962216.9917178008
2025-08-13,BUY,275100.0,3.495950138938357,962216.9917178008,0.0,0.0,3.495950138938357,961735.883221942
2025-09-30,SELL,297600.0,3.495950138938357,0.0,1039874.563967381,3.495950138938357,0.0,1039874.563967381
2025-10-15,BUY,295300.0,3.5196567107531234,1039874.563967381,0.0,0.0,3.5196567107531234,1039354.6266853974
2025-10-16,SELL,282800.0,3.5196567107531234,0.0,994861.2383420828,3.5196567107531234,0.0,994861.2383420828
